princeps,interacted_with,verdict
CIPROFLOXACINE,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Précaution d'emploi
CIPROFLOXACINE,ROPINIROLE,Précaution d'emploi
CIPROFLOXACINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
CIPROFLOXACINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
CITRATES,ALUMINIUM (SELS),Précaution d'emploi
CLADRIBINE,LAMIVUDINE,Association DECONSEILLEE
CLARITHROMYCINE,ATAZANAVIR,Précaution d'emploi
CLARITHROMYCINE,ATORVASTATINE,Précaution d'emploi
CLARITHROMYCINE,CARBAMAZEPINE,Précaution d'emploi
CLARITHROMYCINE,DIGOXINE,Précaution d'emploi
CLARITHROMYCINE,ETRAVIRINE,A prendre en compte
CLARITHROMYCINE,FIDAXOMICINE,Association DECONSEILLEE
CLARITHROMYCINE,GLIBENCLAMIDE,Précaution d'emploi
CLARITHROMYCINE,GLIMEPIRIDE,Précaution d'emploi
CLARITHROMYCINE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
CLARITHROMYCINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
CLARITHROMYCINE,LINEZOLIDE,A prendre en compte
CLARITHROMYCINE,PRAVASTATINE,Précaution d'emploi
CLARITHROMYCINE,REPAGLINIDE,Précaution d'emploi
CLARITHROMYCINE,RIFABUTINE,Précaution d'emploi
CLARITHROMYCINE,RIFAMPICINE,Précaution d'emploi
CLARITHROMYCINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
CLARITHROMYCINE,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
CLARITHROMYCINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",A prendre en compte
CLARITHROMYCINE,VENLAFAXINE,A prendre en compte
CLINDAMYCINE,ANTIVITAMINES K,Précaution d'emploi
CLINDAMYCINE,CICLOSPORINE,Précaution d'emploi
CLINDAMYCINE,TACROLIMUS,Précaution d'emploi
CLOBAZAM,STIRIPENTOL,Précaution d'emploi
CLOMIPRAMINE,BUPROPION,Précaution d'emploi
CLONAZEPAM,CARBAMAZEPINE,Précaution d'emploi
CLOPIDOGREL,ACIDE ACETYLSALICYLIQUE,ASDEC - PE
CLOPIDOGREL,PACLITAXEL,A prendre en compte
CLOPIDOGREL,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Précaution d'emploi
CLOPIDOGREL,REPAGLINIDE,A prendre en compte
CLOPIDOGREL,SELEXIPAG,Précaution d'emploi
CLOZAPINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ASDEC - PE
CLOZAPINE,BENZODIAZÉPINES ET APPARENTÉS,A prendre en compte
CLOZAPINE,CIPROFLOXACINE,Précaution d'emploi
CLOZAPINE,FLUVOXAMINE,Précaution d'emploi
CLOZAPINE,MILLEPERTUIS,CONTRE-INDICATION
CLOZAPINE,RIFAMPICINE,Précaution d'emploi
COBICISTAT,AMIODARONE,CONTRE-INDICATION
COBICISTAT,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
COBICISTAT,ETRAVIRINE,Association DECONSEILLEE
COBICISTAT,INHIBITEURS PUISSANTS DU CYP3A4,A prendre en compte
COBICISTAT,MILLEPERTUIS,CONTRE-INDICATION
COBICISTAT,QUINIDINE,CONTRE-INDICATION
COBICISTAT,RIFABUTINE,Précaution d'emploi
COBICISTAT,RIFAMPICINE,CONTRE-INDICATION
COBICISTAT,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi
COBIMÉTINIB,ACIDE ACETYLSALICYLIQUE,Précaution d'emploi
COBIMÉTINIB,ANTIAGRÉGANTS PLAQUETTAIRES,Précaution d'emploi
COBIMÉTINIB,ANTICOAGULANTS ORAUX,Précaution d'emploi
COBIMÉTINIB,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Précaution d'emploi
COBIMÉTINIB,DÉFIBROTIDE,Précaution d'emploi
COBIMÉTINIB,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),Précaution d'emploi
COBIMÉTINIB,HÉPARINES,Précaution d'emploi
COBIMÉTINIB,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),A prendre en compte
COBIMÉTINIB,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,Précaution d'emploi
COBIMÉTINIB,MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,Précaution d'emploi
COBIMÉTINIB,PENTOXIFYLLINE,Précaution d'emploi
COCAINE,DISULFIRAME,A prendre en compte
COLCHICINE,ANTIVITAMINES K,Précaution d'emploi
COLCHICINE,CICLOSPORINE,Association DECONSEILLEE
COLCHICINE,FIBRATES,Précaution d'emploi
COLCHICINE,FLUCONAZOLE,Association DECONSEILLEE
COLCHICINE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Précaution d'emploi
COLCHICINE,INHIBITEURS PUISSANTS DU CYP3A4,CIASDEC
COLCHICINE,MACROLIDES (SAUF SPIRAMYCINE),CONTRE-INDICATION
COLCHICINE,OMBITASVIR  PARITAPRÉVIR,CIASDEC
COLCHICINE,PONATINIB,Précaution d'emploi
COLCHICINE,PRISTINAMYCINE,CONTRE-INDICATION
COLCHICINE,ROLAPITANT,Précaution d'emploi
COLCHICINE,VERAPAMIL,Association DECONSEILLEE
COLISTINE,CURARES,Précaution d'emploi
CORTICOÏDES,MIFAMURTIDE,Association DECONSEILLEE
"CORTICOÏDES MÉTABOLISÉS, NOTAMMENT INHALÉS",INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
CYP3A4,IBRUTINIB,Association DECONSEILLEE
CYP3A4,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Association DECONSEILLEE
CYP3A4,SUBSTRATS À RISQUE DU CYP3A4,Association DECONSEILLEE
CURARES,AMINOSIDES,Précaution d'emploi
CURARES,COLISTINE,Précaution d'emploi
CURARES,LINCOSANIDES,Précaution d'emploi
CURARES,POLYMYXINE B,Précaution d'emploi
CURARES NON DÉPOLARISANTS,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),A prendre en compte
CYANOCOBALAMINE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
CYANOCOBALAMINE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,A prendre en compte
CYCLINES,ANTIVITAMINES K,Précaution d'emploi
CYCLINES,CALCIUM,Précaution d'emploi
CYCLINES,FER,Précaution d'emploi
CYCLINES,RÉTINOÏDES,CONTRE-INDICATION
CYCLINES,STRONTIUM,Précaution d'emploi
CYCLINES,VITAMINE A,CONTRE-INDICATION
CYCLINES,ZINC,Précaution d'emploi
CYCLOPHOSPHAMIDE,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
CYCLOPHOSPHAMIDE,MILLEPERTUIS,CONTRE-INDICATION
CYCLOPHOSPHAMIDE,PENTOSTATINE,Association DECONSEILLEE
CYPROHEPTADINE,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,A prendre en compte
CYPROTERONE,APREPITANT,Précaution d'emploi
CYPROTERONE,BOSENTAN,Précaution d'emploi
CYPROTERONE,INDUCTEURS ENZYMATIQUES,ASDEC - PEPrécaution d'emploi
CYPROTERONE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,ASDEC - PEPrécaution d'emploi
CYPROTERONE,MILLEPERTUIS,CONTRE-INDICATION
CYPROTERONE,PÉRAMPANEL,Association DECONSEILLEE
CYPROTERONE,ULIPRISTAL,ASDEC - APEC
CYTOTOXIQUES,ANTIVITAMINES K,Précaution d'emploi
CYTOTOXIQUES,FLUCYTOSINE,A prendre en compte
CYTOTOXIQUES,IMMUNOSUPPRESSEURS,A prendre en compte
CYTOTOXIQUES,OLAPARIB,Association DECONSEILLEE
CYTOTOXIQUES,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Association DECONSEILLEE
CYTOTOXIQUES,VACCINS VIVANTS ATTÉNUÉS,CONTRE-INDICATION
DABIGATRAN,AMIODARONE,Précaution d'emploi
DABIGATRAN,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
DABIGATRAN,CICLOSPORINE,CONTRE-INDICATION
DABIGATRAN,DRONEDARONE,CONTRE-INDICATION
DABIGATRAN,GLÉCAPRÉVIR  PIBRENTASVIR,CONTRE-INDICATION
DABIGATRAN,ITRACONAZOLE,CONTRE-INDICATION
DABIGATRAN,KETOCONAZOLE,CONTRE-INDICATION
DABIGATRAN,PONATINIB,Précaution d'emploi
DABIGATRAN,QUINIDINE,Précaution d'emploi
DABIGATRAN,RIFAMPICINE,Association DECONSEILLEE
DABIGATRAN,ROLAPITANT,Précaution d'emploi
DABIGATRAN,TACROLIMUS,Association DECONSEILLEE
DABIGATRAN,TICAGRELOR,A prendre en compte
DABIGATRAN,VERAPAMIL,Précaution d'emploi
DACARBAZINE,FOTEMUSTINE,Précaution d'emploi
DALFOPRISTINE,DIHYDROERGOTAMINE,CONTRE-INDICATION
DALFOPRISTINE,ERGOTAMINE,CONTRE-INDICATION
DALFOPRISTINE,IMMUNOSUPPRESSEURS,Précaution d'emploi
DALFOPRISTINE,PIMOZIDE,Association DECONSEILLEE
DANAZOL,ANTIVITAMINES K,Précaution d'emploi
DANAZOL,CARBAMAZEPINE,Précaution d'emploi
DANAZOL,CICLOSPORINE,Précaution d'emploi
DANAZOL,INSULINE,Association DECONSEILLEE
DANAZOL,SIMVASTATINE,CONTRE-INDICATION
DANAZOL,SULFAMIDES HYPOGLYCÉMIANTS,Association DECONSEILLEE
DANAZOL,TACROLIMUS,Précaution d'emploi
DANTROLENE,DIHYDROPYRIDINES,Association DECONSEILLEE
DANTROLENE,DILTIAZEM,CONTRE-INDICATION
DANTROLENE,VERAPAMIL,CONTRE-INDICATION
DAPOXÉTINE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
DAPOXÉTINE,MÉDICAMENTS À L'ORIGINE D'UNE HYPOTENSION ORTHOSTATIQUE,ASDEC - APECA prendre en compte
DAPSONE,ZIDOVUDINE,Précaution d'emploi
DAPTOMYCINE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Association DECONSEILLEE
DARIFENACINE,FLECAINIDE,Précaution d'emploi
DARIFENACINE,METOPROLOL,Précaution d'emploi
DARIFENACINE,PROPAFENONE,Précaution d'emploi
DARUNAVIR,ETRAVIRINE,Association DECONSEILLEE
DASABUVIR,ETHINYLESTRADIOL,CONTRE-INDICATION
DASABUVIR,GEMFIBROZIL,CONTRE-INDICATION
DASABUVIR,INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
DASABUVIR,MILLEPERTUIS,CONTRE-INDICATION
DASABUVIR,MITOTANE,CONTRE-INDICATION
DEFERASIROX,ACIDE ACETYLSALICYLIQUE,A prendre en compte
DEFERASIROX,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
DEFERASIROX,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,A prendre en compte
DEFERASIROX,ANTIVITAMINES K,A prendre en compte
DEFERASIROX,BUSULFAN,A prendre en compte
DEFERASIROX,DÉFÉRIPRONE,CONTRE-INDICATION
DEFERASIROX,DÉFÉROXAMINE,CONTRE-INDICATION
DEFERASIROX,PACLITAXEL,Précaution d'emploi
DEFERASIROX,REPAGLINIDE,Association DECONSEILLEE
DEFERASIROX,RIFAMPICINE,Précaution d'emploi
DEFERASIROX,SELEXIPAG,Précaution d'emploi
DÉFÉRIPRONE,ACIDE ASCORBIQUE,Précaution d'emploi
DÉFÉRIPRONE,DEFERASIROX,CONTRE-INDICATION
DÉFÉROXAMINE,ACIDE ASCORBIQUE,Précaution d'emploi
DÉFÉROXAMINE,DEFERASIROX,CONTRE-INDICATION
DÉFIBROTIDE,ANTIAGRÉGANTS PLAQUETTAIRES,Association DECONSEILLEE
DÉFIBROTIDE,ANTICOAGULANTS ORAUX,Association DECONSEILLEE
DÉFIBROTIDE,COBIMÉTINIB,Précaution d'emploi
DÉFIBROTIDE,HÉPARINES,Association DECONSEILLEE
DÉFIBROTIDE,THROMBOLYTIQUES,CONTRE-INDICATION
DÉLAMANID,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
DÉLAMANID,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
DÉLAMANID,RIFAMPICINE,CONTRE-INDICATION
DÉLAMANID,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,CIASDEC
DÉRIVÉS DE L'ACIDE AMINOSALICYLIQUE (ASA),ANTIPURINES,A prendre en compte
DÉRIVÉS NITRÉS ET APPARENTÉS,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,CONTRE-INDICATION
DÉRIVÉS NITRÉS ET APPARENTÉS,RIOCIGUAT,CONTRE-INDICATION
DESIPRAMINE,BUPROPION,Précaution d'emploi
DEXAMETHASONE,PRAZIQUANTEL,Précaution d'emploi
DEXAMETHASONE,RILPIVIRINE,CONTRE-INDICATION
DEXTRAN,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),Association DECONSEILLEE
DEXTROMETHORPHANE,CINACALCET,CONTRE-INDICATION
DEXTROMETHORPHANE,IMAO IRRÉVERSIBLES,CONTRE-INDICATION
DEXTROMETHORPHANE,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",Association DECONSEILLEE
DIAZEPAM,BUSPIRONE,A prendre en compte
DIAZEPAM,CIMETIDINE,Précaution d'emploi
DIAZEPAM,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Précaution d'emploi
DIAZEPAM,STIRIPENTOL,Précaution d'emploi
DIDANOSINE,ALLOPURINOL,Association DECONSEILLEE
DIDANOSINE,GANCICLOVIR,Association DECONSEILLEE
DIDANOSINE,PENTAMIDINE,Précaution d'emploi
DIDANOSINE,RIBAVIRINE,Association DECONSEILLEE
DIDANOSINE,TENOFOVIR DISOPROXIL,Association DECONSEILLEE
DIDANOSINE,THALIDOMIDE,Précaution d'emploi
DIGOXINE,AMIODARONE,Précaution d'emploi
DIGOXINE,AZITHROMYCINE,Précaution d'emploi
DIGOXINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A prendre en compte
DIGOXINE,CALCIUM,CI - PE
DIGOXINE,CARBAMAZEPINE,Précaution d'emploi
DIGOXINE,CLARITHROMYCINE,Précaution d'emploi
DIGOXINE,DRONEDARONE,Association DECONSEILLEE
DIGOXINE,ERYTHROMYCINE,Précaution d'emploi
DIGOXINE,GLÉCAPRÉVIR  PIBRENTASVIR,Précaution d'emploi
DIGOXINE,HYDROQUINIDINE,Précaution d'emploi
DIGOXINE,HYPOKALIÉMIANTS,Précaution d'emploi
DIGOXINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
DIGOXINE,ITRACONAZOLE,Précaution d'emploi
DIGOXINE,MIDODRINE,Association DECONSEILLEE
DIGOXINE,MILLEPERTUIS,CONTRE-INDICATION
DIGOXINE,OMEPRAZOLE,Précaution d'emploi
DIGOXINE,PONATINIB,Précaution d'emploi
DIGOXINE,POSACONAZOLE,Précaution d'emploi
DIGOXINE,PROPAFENONE,Précaution d'emploi
DIGOXINE,QUINIDINE,Précaution d'emploi
DIGOXINE,QUININE,Précaution d'emploi
DIGOXINE,RANOLAZINE,Précaution d'emploi
DIGOXINE,RIFAMPICINE,Précaution d'emploi
DIGOXINE,ROLAPITANT,Précaution d'emploi
DIGOXINE,SUCRALFATE,Précaution d'emploi
DIGOXINE,SULFASALAZINE,Précaution d'emploi
DIGOXINE,TELITHROMYCINE,Précaution d'emploi
DIGOXINE,VERAPAMIL,Précaution d'emploi
DIHYDROERGOTAMINE,DALFOPRISTINE,CONTRE-INDICATION
DIHYDROERGOTAMINE,DILTIAZEM,CONTRE-INDICATION
DIHYDROERGOTAMINE,EFAVIRENZ,CONTRE-INDICATION
DIHYDROERGOTAMINE,MACROLIDES (SAUF SPIRAMYCINE),CONTRE-INDICATION
DIHYDROERGOTAMINE,QUINUPRISTINE,CONTRE-INDICATION
DIHYDROERGOTAMINE,STIRIPENTOL,CONTRE-INDICATION
DIHYDROERGOTAMINE,TRICLABENDAZOLE,CONTRE-INDICATION
DIHYDROPYRIDINES,BÊTA-BLOQUANTS (SAUF ESMOLOL),A prendre en compte
DIHYDROPYRIDINES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A prendre en compte
DIHYDROPYRIDINES,DANTROLENE,Association DECONSEILLEE
DILTIAZEM,ALFENTANIL,Précaution d'emploi
DILTIAZEM,AMIODARONE,ASDEC - PE
DILTIAZEM,ANTIHYPERTENSEURS CENTRAUX,A prendre en compte
DILTIAZEM,ATORVASTATINE,Précaution d'emploi
DILTIAZEM,BÊTA-BLOQUANTS (SAUF ESMOLOL),Association DECONSEILLEE
DILTIAZEM,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Association DECONSEILLEE
DILTIAZEM,BUSPIRONE,Précaution d'emploi
DILTIAZEM,DANTROLENE,CONTRE-INDICATION
DILTIAZEM,DIHYDROERGOTAMINE,CONTRE-INDICATION
DILTIAZEM,DRONEDARONE,Précaution d'emploi
DILTIAZEM,ERGOTAMINE,CONTRE-INDICATION
DILTIAZEM,ESMOLOL,ASDEC - PE
DILTIAZEM,IBRUTINIB,Association DECONSEILLEE
DILTIAZEM,IMMUNOSUPPRESSEURS,Précaution d'emploi
DILTIAZEM,IVABRADINE,CONTRE-INDICATION
DILTIAZEM,MIDAZOLAM,Précaution d'emploi
DILTIAZEM,NALOXEGOL,Précaution d'emploi
DILTIAZEM,NIFEDIPINE,CONTRE-INDICATION
DILTIAZEM,OLAPARIB,Association DECONSEILLEE
DILTIAZEM,PIMOZIDE,CONTRE-INDICATION
DILTIAZEM,SIMVASTATINE,Précaution d'emploi
DILTIAZEM,TAMSULOSINE,Précaution d'emploi
DILTIAZEM,TICAGRELOR,A prendre en compte
DILTIAZEM,TOLVAPTAN,Précaution d'emploi
DIMÉTHYLE ( FUMARATE DE),VACCINS VIVANTS ATTÉNUÉS,A prendre en compte
DIPROPHYLLINE,PROBENECIDE,Précaution d'emploi
DIPYRIDAMOLE,THÉINE,Précaution d'emploi
DIPYRIDAMOLE,BÊTA-BLOQUANTS (SAUF ESMOLOL),A prendre en compte
DIPYRIDAMOLE,CAFEINE,Précaution d'emploi
DIPYRIDAMOLE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
DISOPYRAMIDE,INDUCTEURS ENZYMATIQUES,Précaution d'emploi
DISOPYRAMIDE,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
DISOPYRAMIDE,JOSAMYCINE,Précaution d'emploi
DISOPYRAMIDE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
DISULFIRAME,ANTIVITAMINES K,Précaution d'emploi
DISULFIRAME,COCAINE,A prendre en compte
DISULFIRAME,ISONIAZIDE,Association DECONSEILLEE
DISULFIRAME,METRONIDAZOLE,Association DECONSEILLEE
DISULFIRAME,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Association DECONSEILLEE
DIURÉTIQUES,ACIDE ACETYLSALICYLIQUE,Précaution d'emploi
DIURÉTIQUES,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Précaution d'emploi
DIURÉTIQUES,PRODUITS DE CONTRASTE IODÉS,Précaution d'emploi
DIURÉTIQUES DE L'ANSE,AMINOSIDES,Précaution d'emploi
DIURÉTIQUES DE L'ANSE,LITHIUM,Association DECONSEILLEE
DIURÉTIQUES DE L'ANSE,METFORMINE,Précaution d'emploi
DIURÉTIQUES DE L'ANSE,ORGANOPLATINES,A prendre en compte
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),AUTRES DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),CONTRE-INDICATION
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,ASDEC - PE
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),CICLOSPORINE,Association DECONSEILLEE
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),DIURÉTIQUES HYPOKALIÉMIANTS,Précaution d'emploi
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),INHIBITEURS DE L'ENZYME DE CONVERSION,ASDEC - PE
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),LITHIUM,Précaution d'emploi
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),POTASSIUM,Association DECONSEILLEE
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),TACROLIMUS,Association DECONSEILLEE
DIURÉTIQUES HYPOKALIÉMIANTS,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Précaution d'emploi
DIURÉTIQUES HYPOKALIÉMIANTS,CARBAMAZEPINE,Précaution d'emploi
DIURÉTIQUES HYPOKALIÉMIANTS,CICLOSPORINE,A prendre en compte
DIURÉTIQUES HYPOKALIÉMIANTS,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),Précaution d'emploi
DIURÉTIQUES HYPOKALIÉMIANTS,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
DIURÉTIQUES THIAZIDIQUES ET APPARENTÉS,CALCIUM,A prendre en compte
DIURÉTIQUES THIAZIDIQUES ET APPARENTÉS,LITHIUM,Association DECONSEILLEE
DOCETAXEL,AMIODARONE,Précaution d'emploi
DOCETAXEL,APALUTAMIDE,Association DECONSEILLEE
DOCETAXEL,DRONEDARONE,Précaution d'emploi
DOCETAXEL,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
DOCETAXEL,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
DOCETAXEL,MILLEPERTUIS,CONTRE-INDICATION
DOLUTÉGRAVIR,INDUCTEURS ENZYMATIQUES,ASDEC - PE
DOLUTÉGRAVIR,METFORMINE,Précaution d'emploi
DOLUTÉGRAVIR,MILLEPERTUIS,Association DECONSEILLEE
DOMPERIDONE,FLUCONAZOLE,CONTRE-INDICATION
DOMPERIDONE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
DOPAMINERGIQUES,NEUROLEPTIQUES ANTIÉMÉTIQUES,CONTRE-INDICATION
DOPAMINERGIQUES,TETRABENAZINE,Association DECONSEILLEE
"DOPAMINERGIQUES, HORS PARKINSON",NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),CONTRE-INDICATION
DOXORUBICINE,VERAPAMIL,A prendre en compte
DOXYCYCLINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
DRONEDARONE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
DRONEDARONE,DABIGATRAN,CONTRE-INDICATION
DRONEDARONE,DIGOXINE,Association DECONSEILLEE
DRONEDARONE,DILTIAZEM,Précaution d'emploi
DRONEDARONE,DOCETAXEL,Précaution d'emploi
DRONEDARONE,FIDAXOMICINE,Association DECONSEILLEE
DRONEDARONE,IBRUTINIB,Association DECONSEILLEE
DRONEDARONE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
DRONEDARONE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
DRONEDARONE,MILLEPERTUIS,Association DECONSEILLEE
DRONEDARONE,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
DRONEDARONE,QUINIDINE,Précaution d'emploi
DRONEDARONE,RIFAMPICINE,Association DECONSEILLEE
DRONEDARONE,SIMVASTATINE,Association DECONSEILLEE
DRONEDARONE,VERAPAMIL,Précaution d'emploi
DULOXETINE,ENOXACINE,CONTRE-INDICATION
DULOXETINE,FLECAINIDE,Précaution d'emploi
DULOXETINE,FLUVOXAMINE,CONTRE-INDICATION
DULOXETINE,MEQUITAZINE,Association DECONSEILLEE
DULOXETINE,METOPROLOL,Précaution d'emploi
DULOXETINE,PROPAFENONE,Précaution d'emploi
DULOXETINE,TAMOXIFENE,Association DECONSEILLEE
DULOXETINE,TETRABENAZINE,CONTRE-INDICATION
ECONAZOLE,ANTIVITAMINES K,Précaution d'emploi
EFAVIRENZ,ANTIVITAMINES K,Précaution d'emploi
EFAVIRENZ,ATAZANAVIR,Association DECONSEILLEE
EFAVIRENZ,ATOVAQUONE,Association DECONSEILLEE
EFAVIRENZ,DIHYDROERGOTAMINE,CONTRE-INDICATION
EFAVIRENZ,ERGOTAMINE,CONTRE-INDICATION
EFAVIRENZ,FOSAMPRENAVIR,Précaution d'emploi
EFAVIRENZ,GINKGO,Association DECONSEILLEE
EFAVIRENZ,MILLEPERTUIS,CONTRE-INDICATION
EFAVIRENZ,PIMOZIDE,CONTRE-INDICATION
EFAVIRENZ,RIFABUTINE,Précaution d'emploi
EFAVIRENZ,RIFAMPICINE,Précaution d'emploi
EFAVIRENZ,VELPATASVIR,Association DECONSEILLEE
EFAVIRENZ,VORICONAZOLE,Association DECONSEILLEE
ÉLIGLUSTAT,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
ELTROMBOPAG,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Précaution d'emploi
ELVITÉGRAVIR,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
ELVITÉGRAVIR,ITRACONAZOLE,Précaution d'emploi
ELVITÉGRAVIR,KETOCONAZOLE,Précaution d'emploi
ELVITÉGRAVIR,RIFABUTINE,A prendre en compte
ENOXACINE,CAFEINE,Association DECONSEILLEE
ENOXACINE,DULOXETINE,CONTRE-INDICATION
ENOXACINE,ROPINIROLE,Précaution d'emploi
ENOXACINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",CONTRE-INDICATION
ENTACAPONE,FER,Précaution d'emploi
ENZALUTAMIDE,GEMFIBROZIL,Précaution d'emploi
EPLERENONE,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Précaution d'emploi
EPLERENONE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
EPLERENONE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
ERGOTAMINE,DALFOPRISTINE,CONTRE-INDICATION
ERGOTAMINE,DILTIAZEM,CONTRE-INDICATION
ERGOTAMINE,EFAVIRENZ,CONTRE-INDICATION
ERGOTAMINE,MACROLIDES (SAUF SPIRAMYCINE),CONTRE-INDICATION
ERGOTAMINE,OXPRENOLOL,Précaution d'emploi
ERGOTAMINE,PROPRANOLOL,Précaution d'emploi
ERGOTAMINE,QUINUPRISTINE,CONTRE-INDICATION
ERGOTAMINE,STIRIPENTOL,CONTRE-INDICATION
ERGOTAMINE,TRICLABENDAZOLE,CONTRE-INDICATION
